Distance_(pixels),Gray_Value
0,0.0014
1,0.0014
2,0.0028
3,0.0028
4,0.0042
5,0.0042
6,0.0056
7,0.0056
8,0.0056
9,0.0056
10,0.0084
11,0.0084
12,0.0146
13,0.0146
14,0.0216
15,0.0216
16,0.0265
17,0.0265
18,0.0195
19,0.0195
20,0.0126
21,0.0126
22,0.0070
23,0.0070
24,0.0056
25,0.0056
26,0.0028
27,0.0028
28,0.0042
29,0.0042
30,0.0112
31,0.0112
32,0.0209
33,0.0209
34,0.0300
35,0.0300
36,0.0321
37,0.0321
38,0.0293
39,0.0293
40,0.0279
41,0.0279
42,0.0237
43,0.0237
44,0.0167
45,0.0167
46,0.0070
47,0.0070
48,0.0014
49,0.0014
50,0.0014
51,0.0014
52,0.0244
53,0.0056
54,0.0070
55,0.0070
56,0.0112
57,0.0112
58,0.0223
59,0.0223
60,0.0544
61,0.0544
62,0.0941
63,0.0941
64,0.1158
65,0.1158
66,0.1276
67,0.1276
68,0.1165
69,0.1165
70,0.0907
71,0.0907
72,0.0600
73,0.0600
74,0.0425
75,0.0425
76,0.0370
77,0.0370
78,0.0293
79,0.0293
80,0.0446
81,0.0446
82,0.0900
83,0.0900
84,0.1813
85,0.1813
86,0.3096
87,0.3096
88,0.4812
89,0.4477
90,0.5328
91,0.5328
92,0.5746
93,0.5746
94,0.5662
95,0.5662
96,0.5084
97,0.5084
98,0.3745
99,0.3745
100,0.2064
101,0.2064
102,0.0781
103,0.0781
104,0.0474
105,0.0474
106,0.0460
107,0.0460
108,0.1025
109,0.1025
110,0.2510
111,0.2510
112,0.5676
113,0.5676
114,0.9784
115,0.9784
116,1.2901
117,1.2901
118,1.4637
119,1.4637
120,1.4826
121,1.4826
122,1.3543
123,1.3543
124,1.0781
125,1.0781
126,0.6918
127,0.6918
128,0.3487
129,0.3487
130,0.1743
131,0.1743
132,0.1457
133,0.1457
134,0.1534
135,0.1534
136,0.2162
137,0.2162
138,0.4561
139,0.4561
140,0.9651
141,0.9651
142,1.7462
143,1.7462
144,2.5418
145,2.5181
146,2.8696
147,2.8696
148,2.9289
149,2.9289
150,2.6688
151,2.6688
152,2.1039
153,2.1039
154,1.3536
155,1.3536
156,0.6939
157,0.6939
158,0.3291
159,0.3291
160,0.2169
161,0.2169
162,0.2106
163,0.2106
164,0.3103
165,0.3103
166,0.8724
167,0.8724
168,2.0509
169,2.0509
170,3.6750
171,3.6792
172,5.0669
173,5.3696
174,6.6004
175,7.2245
176,7.7490
177,8.1639
178,7.7992
179,7.5795
180,6.4449
181,6.0223
182,4.4100
183,4.2566
184,2.4449
185,2.4449
186,0.9421
187,0.9421
188,0.2078
189,0.2078
190,0.1395
191,0.1395
192,0.1374
193,0.1374
194,0.4958
195,0.4958
196,2.0321
197,2.0321
198,4.5746
199,4.9010
200,9.5474
201,13.0683
202,19.6904
203,23.4442
204,26.7252
205,29.4867
206,30.5251
207,31.3891
208,30.3780
209,29.5955
210,26.4867
211,24.1234
212,18.8738
213,15.0893
214,9.3612
215,6.3271
216,3.2420
217,3.0091
218,1.5955
219,1.5955
220,1.4038
221,1.4038
222,1.4449
223,1.4449
224,2.2838
225,2.2838
226,4.9589
227,5.1876
228,11.0119
229,15.7629
230,24.7141
231,30.9958
232,38.4379
233,42.4282
234,46.0809
235,48.9372
236,50.2078
237,51.5209
238,51.2043
239,51.2434
240,49.2413
241,47.3982
242,42.6527
243,38.7413
244,32.3333
245,26.8536
246,18.9526
247,13.8424
248,8.0886
249,5.4805
250,3.8640
251,3.5948
252,3.4819
253,3.4540
254,3.9289
255,4.0830
256,7.0760
257,9.6946
258,17.2789
259,22.8068
260,30.6339
261,35.7434
262,41.0370
263,45.0356
264,48.5112
265,51.1423
266,52.3501
267,53.3954
268,52.8201
269,52.4073
270,49.8989
271,48.0669
272,43.6925
273,39.9686
274,32.5683
275,26.9742
276,18.3717
277,13.2371
278,7.0544
279,5.1611
280,2.7866
281,2.7064
282,2.0844
283,2.0844
284,2.0844
285,2.0844
286,2.6967
287,2.7308
288,5.4038
289,7.1192
290,13.0209
291,16.8947
292,21.9533
293,25.7901
294,28.9310
295,31.3689
296,31.8877
297,32.4916
298,31.6199
299,30.9275
300,27.4226
301,24.8431
302,19.5837
303,15.5858
304,9.5662
305,6.8445
306,3.4568
307,3.1269
308,1.2999
309,1.2999
310,0.7413
311,0.7413
312,0.7232
313,0.7232
314,0.7873
315,0.7873
316,1.7238
317,1.7238
318,3.6646
319,3.8452
320,6.8340
321,8.3215
322,11.1213
323,12.3487
324,12.9923
325,13.4693
326,12.8633
327,12.4596
328,10.2566
329,9.0070
330,6.1583
331,4.9338
332,2.8919
333,2.6960
334,1.4554
335,1.4554
336,1.1179
337,1.1179
338,1.1402
339,1.1402
340,1.3947
341,1.3947
342,2.9644
343,2.9965
344,6.0809
345,7.7197
346,14.8445
347,19.6151
348,26.7120
349,31.4017
350,36.7664
351,40.0439
352,42.2510
353,44.1681
354,44.3577
355,44.2824
356,42.5537
357,41.2803
358,37.6025
359,34.5753
360,29.3849
361,24.5167
362,17.2190
363,12.6123
364,7.0223
365,5.2824
366,2.7755
367,2.6646
368,1.7406
369,1.7392
370,1.6353
371,1.6353
372,1.7008
373,1.7008
374,2.3884
375,2.3898
376,4.1604
377,4.7204
378,7.4840
379,8.8954
380,11.2294
381,12.6457
382,13.5802
383,14.1395
384,13.3926
385,12.7176
386,10.3522
387,8.6039
388,5.4951
389,4.6311
390,2.3612
391,2.3452
392,0.9121
393,0.9121
394,0.6437
395,0.6437
396,0.6485
397,0.6485
398,0.9142
399,0.9142
400,2.5704
401,2.6102
402,6.1688
403,8.5530
404,15.9463
405,20.7099
406,27.7092
407,32.1499
408,37.0676
409,39.5384
410,41.0035
411,41.9038
412,41.4386
413,41.6430
414,39.9533
415,38.3661
416,34.6192
417,30.0432
418,23.2357
419,17.4024
420,9.6918
421,6.3026
422,2.8570
423,2.7775
424,0.9930
425,0.9930
426,0.6688
427,0.6688
428,0.6806
429,0.6806
430,0.8780
431,0.8780
432,2.1053
433,2.0962
434,3.9379
435,4.0397
436,5.8487
437,6.7148
438,8.3654
439,9.3452
440,9.6255
441,10.1583
442,9.2587
443,8.6060
444,6.6806
445,5.7148
446,3.6471
447,3.3926
448,1.8494
449,1.8452
450,1.2162
451,1.2162
452,1.1185
453,1.1185
454,1.1660
455,1.1660
456,1.7211
457,1.7211
458,3.9240
459,4.4909
460,10.4093
461,14.2294
462,21.7134
463,25.8340
464,31.5628
465,34.4107
466,36.9372
467,38.2720
468,38.2999
469,38.3452
470,36.9770
471,35.8570
472,33.0328
473,29.6625
474,24.6437
475,19.4268
476,12.6402
477,8.8696
478,4.5586
479,3.9561
480,1.4603
481,1.4603
482,0.4972
483,0.4972
484,0.4344
485,0.4344
486,0.4282
487,0.4282
488,0.7413
489,0.7413
490,1.5732
491,1.5732
492,2.7392
493,2.8250
494,4.0907
495,4.5893
496,5.1234
497,5.4651
498,5.1583
499,5.0446
500,4.2559
501,3.8382
502,2.8382
503,2.7789
504,1.5969
505,1.5955
506,0.6729
507,0.6729
508,0.1688
509,0.1688
510,0.1318
511,0.1318
512,0.1402
513,0.1402
514,0.4554
515,0.4554
516,1.3417
517,1.3417
518,2.7287
519,2.7957
520,5.2629
521,6.6611
522,9.5760
523,11.3982
524,12.5223
525,13.3333
526,12.6764
527,12.3815
528,10.1109
529,8.1437
530,5.3103
531,3.9630
532,2.2245
533,2.0342
534,0.9958
535,0.9958
536,0.5397
537,0.5397
538,0.4547
539,0.4547
540,0.4881
541,0.4881
542,0.7538
543,0.7538
544,1.8633
545,1.8661
546,4.3208
547,5.3417
548,9.9909
549,13.0516
550,18.0272
551,20.5788
552,22.9519
553,24.2713
554,24.2734
555,24.3403
556,22.7650
557,21.8075
558,18.9386
559,15.8243
560,11.5349
561,8.4944
562,5.1255
563,3.8424
564,1.7183
565,1.6764
566,0.8201
567,0.8201
568,0.6381
569,0.6381
570,0.6374
571,0.6374
572,0.7713
573,0.7713
574,1.3647
575,1.3724
576,2.7427
577,3.1778
578,6.4414
579,8.0300
580,11.1953
581,13.1130
582,14.7587
583,15.8975
584,15.5656
585,15.6388
586,14.1667
587,12.5105
588,9.4944
589,7.3236
590,4.9791
591,3.8473
592,1.9665
593,1.8787
594,0.6541
595,0.6541
596,0.0467
597,0.0467
598,0.0000
599,0.0000
600,0.0000
601,0.0000
602,0.0042
603,0.0042
604,0.1918
605,0.1918
606,0.8710
607,0.8710
608,1.5725
609,1.5893
610,2.2336
611,2.2734
612,2.7043
613,2.8173
614,2.8968
615,2.9575
616,2.6925
617,2.6011
618,2.1318
619,2.0363
620,1.3410
621,1.3340
622,0.5488
623,0.5453
624,0.0865
625,0.0865
626,0.0056
627,0.0056
628,0.0000
629,0.0000
630,0.0000
631,0.0000
632,0.0000
633,0.0000
634,0.0112
635,0.0112
636,0.2029
637,0.2029
