Distance_(pixels),Gray_Value
0,56.180
1,55.859
2,55.567
3,55.382
4,54.940
5,54.707
6,54.348
7,53.917
8,53.726
9,53.314
10,53.074
11,52.843
12,52.552
13,52.452
14,52.344
15,52.137
16,51.962
17,51.853
18,51.849
19,51.816
20,51.802
21,51.869
22,51.950
23,51.924
24,51.818
25,51.702
26,51.590
27,51.487
28,51.126
29,51.293
30,51.370
31,51.891
32,52.654
33,53.788
34,54.586
35,55.150
36,55.193
37,54.951
38,54.312
39,54.010
40,53.654
41,53.916
42,54.812
43,56.012
44,57.418
45,58.346
46,58.487
47,58.264
48,56.826
49,54.205
50,50.323
51,48.142
52,47.095
53,48.816
54,53.931
55,60.426
56,66.018
57,70.235
58,69.628
59,70.481
60,60.627
61,48.641
62,31.416
63,19.879
64,19.980
65,27.954
66,54.776
67,76.031
68,92.928
69,113.198
70,110.070
71,116.680
72,98.574
73,82.749
74,52.977
75,18.190
76,13.776
77,13.985
78,22.412
79,53.850
80,93.861
81,129.326
82,142.422
83,164.155
84,155.105
85,164.858
86,135.044
87,106.359
88,76.245
89,28.646
90,24.380
91,23.550
92,69.591
93,104.588
94,137.208
95,166.581
96,164.534
97,168.741
98,165.798
99,170.866
100,144.910
101,115.217
102,89.736
103,47.051
104,52.686
105,46.442
106,85.899
107,119.215
108,151.142
109,181.957
110,171.997
111,180.850
112,142.522
113,118.537
114,81.977
115,36.049
116,16.356
117,15.626
118,25.543
119,62.350
120,99.912
121,139.044
122,145.250
123,157.878
124,147.187
125,144.715
126,104.667
127,71.861
128,34.007
129,17.057
130,17.654
131,30.805
132,79.733
133,113.561
134,135.079
135,167.642
136,155.172
137,171.969
138,139.808
139,110.068
140,81.560
141,41.326
142,52.604
143,53.045
144,102.309
145,137.431
146,160.028
147,174.906
148,168.935
149,171.282
150,164.976
151,164.541
152,127.905
153,86.619
154,53.556
155,15.814
156,15.872
157,21.286
158,73.920
159,107.641
160,141.423
161,171.501
162,161.304
163,171.574
164,141.774
165,117.010
166,81.656
167,40.023
168,13.484
169,12.040
170,11.837
171,14.988
172,52.887
173,81.975
174,94.089
175,108.097
176,100.674
177,98.033
178,78.706
179,61.734
180,43.548
181,23.856
182,23.334
183,26.022
184,40.842
185,52.776
186,61.855
187,67.042
188,64.550
189,62.988
190,57.643
191,51.699
192,46.690
193,45.056
194,44.774
195,46.590
196,49.404
197,51.297
198,52.925
199,52.779
200,52.359
201,51.799
202,50.875
203,49.607
204,48.919
205,48.724
206,48.672
207,49.011
208,49.452
209,49.718
210,49.495
211,49.264
212,48.670
213,48.267
214,47.749
215,47.303
216,47.003
217,46.842
218,46.866
219,46.850
220,46.868
221,46.771
222,46.611
223,46.436
224,46.179
225,45.598
226,45.365
227,45.232
228,45.043
229,44.935
230,45.153
231,45.694
232,45.642
233,45.513
234,45.415
235,45.375
236,45.284
237,45.156
