Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,0.000
3,0.000
4,0.076
5,0.070
6,0.073
7,0.103
8,0.206
9,0.261
10,0.371
11,0.416
12,0.604
13,0.743
14,1.110
15,1.426
16,1.752
17,2.020
18,2.622
19,3.119
20,3.802
21,3.949
22,4.289
23,4.694
24,5.059
25,5.594
26,6.565
27,7.492
28,9.121
29,10.079
30,11.167
31,12.328
32,13.955
33,15.553
34,17.902
35,20.673
36,23.868
37,26.532
38,29.778
39,35.189
40,41.120
41,47.849
42,53.783
43,58.819
44,70.186
45,83.596
46,109.493
47,147.611
48,176.008
49,206.271
50,220.255
51,233.302
52,241.430
53,249.923
54,251.828
55,252.809
56,253.397
57,253.828
58,254.025
59,253.833
60,251.527
61,244.603
62,232.916
63,210.925
64,183.492
65,183.252
66,158.371
67,153.842
68,144.143
69,129.337
70,118.287
71,116.585
72,109.082
73,103.264
74,96.015
75,94.806
76,88.863
77,83.383
78,77.646
79,76.643
80,71.360
81,67.691
82,64.693
83,63.261
84,60.875
85,59.508
86,56.975
87,55.861
88,54.161
89,53.233
90,50.988
91,49.923
92,48.592
93,47.136
94,44.361
95,42.578
96,40.784
97,39.899
98,38.722
99,38.067
100,36.395
101,35.966
102,34.880
103,34.014
104,33.059
105,32.857
106,32.525
107,32.115
108,31.164
109,30.430
110,29.327
111,28.283
112,27.169
113,26.523
114,26.251
115,26.117
116,25.990
117,26.361
118,26.208
119,25.692
120,25.066
121,24.890
122,24.659
123,24.378
124,23.932
125,23.634
126,23.589
127,23.613
128,23.814
129,23.726
130,23.451
131,23.115
132,22.507
133,22.209
134,21.852
135,21.932
136,22.127
137,22.467
138,22.596
139,22.800
140,22.705
141,22.463
142,22.155
143,22.038
144,22.231
145,22.827
146,25.032
147,30.339
148,33.720
149,34.283
150,27.212
151,25.241
152,23.615
153,23.475
154,22.866
155,22.598
156,22.132
157,21.705
158,21.454
159,21.660
160,22.129
161,22.395
162,22.203
163,22.413
164,21.920
165,21.533
166,21.427
167,21.546
168,21.266
169,22.148
170,21.998
171,23.226
172,23.192
173,23.646
174,23.276
175,23.713
176,23.179
177,23.738
178,23.460
179,24.266
180,24.506
181,25.268
182,25.511
183,25.888
184,25.275
185,25.019
186,24.705
187,24.703
188,24.472
189,24.897
190,25.477
191,25.944
192,26.373
193,26.632
194,26.879
195,26.941
196,27.224
197,27.341
198,27.688
199,28.240
200,28.709
201,29.195
202,29.989
203,30.526
204,31.588
205,32.084
206,33.059
207,33.811
208,34.492
209,35.139
210,36.131
211,36.825
212,37.860
213,38.252
214,39.091
215,40.110
216,40.959
217,41.464
218,42.327
219,43.139
220,44.338
221,45.340
222,46.526
223,47.294
224,48.456
225,49.340
226,50.506
227,51.881
228,53.326
229,54.811
230,56.808
231,58.524
232,59.678
233,61.561
234,64.599
235,66.850
236,69.895
237,72.338
238,75.550
239,78.505
240,81.655
241,83.698
242,87.807
243,90.778
244,95.361
245,100.044
246,111.470
247,118.345
248,128.361
249,136.451
250,146.339
251,154.967
252,163.211
253,183.655
254,192.384
255,217.862
256,230.445
257,242.313
258,253.096
259,253.733
260,254.342
261,254.540
262,254.526
263,254.290
264,254.278
265,254.098
266,253.459
267,251.211
268,246.504
269,238.530
270,221.898
271,207.162
272,183.124
273,166.072
274,131.228
275,112.153
276,105.425
277,92.594
278,83.503
279,74.181
280,67.963
281,62.121
282,57.954
283,54.090
284,50.538
285,46.711
286,42.182
287,38.276
288,35.021
289,32.506
290,29.823
291,26.510
292,23.114
293,20.016
294,17.781
295,15.992
296,14.660
297,13.148
298,11.800
299,10.767
300,9.438
301,8.263
302,6.818
303,6.018
304,5.515
305,4.956
306,4.587
307,3.577
308,2.424
309,1.604
